人民币,长江传媒,广电网络,中文传媒,时代出版,春兰股份,厦华电子,惠而浦,澳柯玛,均胜电子,曙光股份,易见股份,海正药业,中恒集团,复星医药,江苏吴中,大唐电信,大恒科技,信威集团,康欣新材
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.057927360948043e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5581983279001836e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.497722924633022e-13,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5996648835307458e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724983806593716e-26,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3303104989156285e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.311992594911007e-34,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.505519013608884e-30,0.0019275526283308864,0.0,0.9980723857879639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995969295501709,0.0,0.0040307738818228245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9286670088768005,0.0,0.07133300602436066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.7603875240780057e-19,6.713012716187168e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0014579505659639835,1.8401382394565398e-26,0.0,0.998542070388794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.3102494469913331e-32,1.0623947943599887e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2405475130611004e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873770371139892e-35,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0551029685369492e-29,0.0,6.659461870839323e-10,1.266165087696732e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.4537611565945685e-13,9.09749331423626e-10,0.0,1.0,1.0254206400917369e-33,0.0,0.0,0.0,0.0,0.0,9.119375889438878e-34,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9979473330774345e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.447185347321947e-21,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.795151766600982e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.195851163964508e-38,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.141631934741922e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.546404130212156e-26,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5521168841142282e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146075736977929e-20,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.121862916013932e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993332929783338e-34,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.236352900812727e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480468765144802e-38,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.04925935153394e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.696545915609018e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.335900865116085e-29,0.0
